,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares,Filing,Type
1,"ROCKETFUEL BLOCKCHAIN, INC.",Jensen Peter Michael,CEO,"Aug 25, 2021",$1.05,5000,5244,869443,"Aug 25, 2021, 09:48 PM",buy
2,Williams Industrial Services Group Inc.,OBUS NELSON,Director,"Aug 23, 2021",$4.03,46700,188033,6398606,"Aug 25, 2021, 09:34 PM",buy
3,"Population Health Investment Co., Inc.",MEANWELL CLIVE,Chief Executive Officer,"Aug 24, 2021",$9.80,16400,160669,16400,"Aug 25, 2021, 09:21 PM",buy
4,"RAPT Therapeutics, Inc.",Robbins Wendye,Director,"Aug 24, 2021",$30.99,525,16270,2000,"Aug 25, 2021, 09:08 PM",buy
5,"RAPT Therapeutics, Inc.",Robbins Wendye,Director,"Aug 23, 2021",$31.39,1475,46295,1475,"Aug 25, 2021, 09:08 PM",buy
6,"Biomea Fusion, Inc.",Erdtmann Rainer M,President & COO,"Aug 23, 2021",$13.20,24000,316872,228470,"Aug 25, 2021, 08:56 PM",buy
7,"Biomea Fusion, Inc.",Butler Thomas Andrew,CEO,"Aug 23, 2021",$13.20,24000,316872,228470,"Aug 25, 2021, 08:55 PM",buy
8,"ROCKETFUEL BLOCKCHAIN, INC.",Yankowitz Bennett J.,CFO,"Aug 25, 2021",$0.95,1000,950,1355500,"Aug 25, 2021, 08:43 PM",buy
9,Bright Health Group Inc.,Newhall Adair,Director,"Aug 23, 2021",$10.25,16252,166583,16252,"Aug 25, 2021, 08:34 PM",buy
10,Bright Health Group Inc.,Newhall Adair,Director,"Aug 25, 2021",$10.32,16276,167968,48694,"Aug 25, 2021, 08:34 PM",buy
11,Bright Health Group Inc.,Newhall Adair,Director,"Aug 24, 2021",$10.44,16166,168773,32418,"Aug 25, 2021, 08:34 PM",buy
12,"MINIM, INC.",Doherty Sean Patrick,Chief Financial Officer,"Aug 25, 2021",$2.24,2250,5040,22250,"Aug 25, 2021, 08:31 PM",buy
13,NEW PEOPLES BANKSHARES INC,James Kiser W,EVP/Chief Banking Officer,"Aug 25, 2021",$2.00,572,1144,10360,"Aug 25, 2021, 08:19 PM",buy
14,Heritage Global Inc.,Hexner Michael,Director,"Aug 25, 2021",$1.90,34504,65515,60530,"Aug 25, 2021, 08:15 PM",buy
15,"Rocky Mountain Chocolate Factory, Inc.",Radoff Bradley Louis,See Explanation of Responses,"Aug 24, 2021",$7.29,3594,26200,320001,"Aug 25, 2021, 08:09 PM",buy
16,"Rocky Mountain Chocolate Factory, Inc.",Radoff Bradley Louis,See Explanation of Responses,"Aug 23, 2021",$7.17,11407,81788,316407,"Aug 25, 2021, 08:09 PM",buy
17,"Sientra, Inc.",Schmidt Andrew C,Chief Financial Officer,"Aug 23, 2021",$5.90,1449,8549,51613,"Aug 25, 2021, 08:05 PM",buy
18,"SoFi Technologies, Inc.",Webster Aaron,Chief Risk Officer,"Aug 23, 2021",$14.34,1000,14340,273763,"Aug 25, 2021, 08:01 PM",buy
19,"Cerevel Therapeutics Holdings, Inc.",PERCEPTIVE ADVISORS LLC,Director,"Aug 23, 2021",$25.78,44437,1145586,4887532,"Aug 25, 2021, 07:14 PM",buy
20,"Cerevel Therapeutics Holdings, Inc.",PERCEPTIVE ADVISORS LLC,Director,"Aug 25, 2021",$28.57,61387,1753827,5018680,"Aug 25, 2021, 07:14 PM",buy
21,"Cerevel Therapeutics Holdings, Inc.",PERCEPTIVE ADVISORS LLC,Director,"Aug 24, 2021",$27.73,69761,1934472,4957293,"Aug 25, 2021, 07:14 PM",buy
22,"FireEye, Inc.",COVIELLO ARTHUR W JR,Director,"Aug 23, 2021",$17.38,2878,50016,12878,"Aug 25, 2021, 07:03 PM",buy
23,Clough Global Opportunities Fund,McNally Kevin Joseph,Trustee,"Aug 23, 2021",$12.64,3134,39621,1000,"Aug 25, 2021, 06:24 PM",buy
24,Clough Global Equity Fund,McNally Kevin Joseph,Trustee,"Aug 23, 2021",$14.99,2167,32484,1000,"Aug 25, 2021, 06:19 PM",buy
25,Clough Global Dividend & Income Fund,McNally Kevin Joseph,Trustee,"Aug 23, 2021",$11.79,5707,67277,5807,"Aug 25, 2021, 06:14 PM",buy
26,NexPoint Strategic Opportunities Fund,Constantino Edward N.,Director,"Aug 25, 2021",$14.95,9670,144566,16870,"Aug 25, 2021, 06:13 PM",buy
27,"Lumen Technologies, Inc.",CLONTZ STEVEN T,Director,"Aug 23, 2021",$11.98,5000,59880,300015,"Aug 25, 2021, 06:03 PM",buy
28,OGE ENERGY CORP.,RAINBOLT DAVID E,Director,"Aug 23, 2021",$35.80,5000,178997,7000,"Aug 25, 2021, 05:57 PM",buy
