,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value($),Total Shares
1,THRY,"Thryv Holdings, Inc.","Mudrick Capital Management, L.P.",Director,"Aug 24, 2021",$31.01,165000,5116464,12306941
2,THRY,"Thryv Holdings, Inc.","Mudrick Capital Management, L.P.",Director,"Aug 23, 2021",$30.54,170000,5191800,12470111
3,ANET,"Arista Networks, Inc.",Ullal Jayshree,President and CEO,"Aug 24, 2021",$371.72,2647,983943,555000
4,ANET,"Arista Networks, Inc.",Ullal Jayshree,President and CEO,"Aug 23, 2021",$371.72,21,7806,2052102
5,ANET,"Arista Networks, Inc.",Ullal Jayshree,President and CEO,"Aug 23, 2021",$371.72,9,3345,557647
6,ANET,"Arista Networks, Inc.",Ullal Jayshree,President and CEO,"Aug 24, 2021",$371.72,2647,983943,555000
7,ANET,"Arista Networks, Inc.",Ullal Jayshree,President and CEO,"Aug 23, 2021",$371.72,9,3345,557647
8,ANET,"Arista Networks, Inc.",Ullal Jayshree,President and CEO,"Aug 24, 2021",$371.72,6604,2454839,2045498
9,ANET,"Arista Networks, Inc.",BECHTOLSHEIM ANDREAS,Chief Development Officer,"Aug 23, 2021",$369.33,25000,9233178,12450452
10,ANET,"Arista Networks, Inc.",BECHTOLSHEIM ANDREAS,Chief Development Officer,"Aug 24, 2021",$374.35,25000,9358867,45067
11,ANET,"Arista Networks, Inc.",BECHTOLSHEIM ANDREAS,Chief Development Officer,"Aug 23, 2021",$369.34,25000,9233397,44062
12,ANET,"Arista Networks, Inc.",BECHTOLSHEIM ANDREAS,Chief Development Officer,"Aug 24, 2021",$374.37,25000,9359284,12426453
13,AMTI,Applied Molecular Transport Inc.,Kim Helen Susan,Director,"Aug 25, 2021",$30.08,9478,285075,590014
14,AMTI,Applied Molecular Transport Inc.,Kim Helen Susan,Director,"Aug 24, 2021",$30.03,508,15255,599495
15,FN,Fabrinet,Archer Edward T.,"EVP, Sales & Marketing","Aug 19, 2021",$99.85,11450,1143229,30674
16,ALGN,ALIGN TECHNOLOGY INC,Thaler Warren S,Director,"Aug 24, 2021",$711.54,5000,3557723,54692
17,RBLX,Roblox Corp,Tolley Brett,Principal Accounting Officer,"Aug 23, 2021",$83.36,1351,112616,34349
18,RBLX,Roblox Corp,Sturman Daniel,Chief Technology Officer,"Aug 25, 2021",$90.00,16668,1500120,58736
19,RBLX,Roblox Corp,Guthrie Michael,Chief Financial Officer,"Aug 23, 2021",$83.36,4890,407616,88384
